区域	小区名称	户型	面积	价格(万)	单价(元/平米)	性质	朝向	装修	是否有电梯	楼层	建筑年代	楼型
东城	天坛东里南区 	2室1厅	47.17	395	83740	房本满五年	南	简装	无	底层(共11层)1980年建板塔结合		-
东城	安外花园 	2室1厅	63.05	620	98335	房本满五年	南北	精装	无	高楼层(共12层)1992年建板楼		-
东城	小取灯胡同8号院 	3室1厅	94.58	1050	111018	房本满五年	南北	简装	无	底层(共4层)1992年建板楼		-
东城	甘水桥 	3室1厅	60.49	540	89271	房本满五年	东南北	精装	无	顶层(共6层)1985年建板楼		-
东城	新奥洋房 	1室0厅	46.25	388	83892	房本满五年	北	简装	无	高楼层(共9层)2005年建板塔结合		-
东城	白桥大街 	2室1厅	57.86	460	79503	房本满五年	西东	简装	无	顶层(共6层)1985年建板楼		-
东城	新景家园东区 	1室1厅	59.6	620	104027	房本满五年	南	简装	无	低楼层(共16层)2004年建板塔结合		-
东城	和平里二区 	3室1厅	93.8	865	92218	房本满五年	南北	其他	无	低楼层(共20层)2006年建塔楼		-
东城	台基厂头条14号院 	2室1厅	52.61	598	113667	房本满五年	东西	精装	无	底层(共6层)1980年建板楼		-
东城	小黄庄一区 	2室1厅	60.3	580	96186	房本满五年	南北	精装	无	中楼层(共6层)1992年建板楼		-
东城	板桥胡同 	1室1厅	36.81	450	122250	房本满五年	南	精装	无	低楼层(共6层)1986年建板楼		-
东城	安外东河沿 	1室1厅	41.52	489	117775	房本满五年	南	简装	无	低楼层(共6层)1989年建板楼		-
东城	富贵园三区 	3室1厅	76.17	810	106342	房本满五年	南	简装	无	高楼层(共18层)2002年建塔楼		-
东城	交林 	3室1厅	69.11	795	115035	房本满五年	南北	精装	无	中楼层(共5层)1985年建板楼		-
东城	海运仓小区 	2室1厅	64.62	630	97494	房本满五年	西北	精装	无	低楼层(共9层)2003年建板楼		-
东城	和平里四区 	2室1厅	54.25	595	109678	房本满五年	南北	简装	无	低楼层(共6层)1985年建板楼		-
东城	富贵园二区 	2室1厅	76.87	636	82738	房本满五年	西南	精装	无	低楼层(共18层)2003年建板塔结合		-
东城	法华南里 	2室1厅	82.41	735	89189	房本满五年	南北	精装	无	中楼层(共6层)1995年建板楼		-
东城	培新街乙5号院 	2室1厅	75.03	740	98628	房本满五年	东南	简装	无	中楼层(共16层)1999年建板塔结合		-
东城	和平里七区 	1室1厅	38.07	455	119517	房本满五年	南	简装	无	中楼层(共5层)1984年建板楼		-
东城	京城仁合 	2室1厅	85.3	775	90856	房本满五年	东西	精装	无	高楼层(共16层)2004年建板楼		-
东城	十字坡东里 	3室1厅	70.83	685	96711	房本满五年	南北	简装	无	高楼层(共6层)1986年建板楼		-
东城	上龙西里 	2室1厅	44.87	510	113662	房本满五年	南	精装	无	中楼层(共5层)1989年建板楼		-
东城	花市枣苑三期 	3室2厅	129.37	1430	110536		东南	简装	无	高楼层(共18层)2005年建塔楼		-
东城	丽水湾畔家园 	3室1厅	146.77	1260	85849		东南	精装	无	中楼层(共21层)2002年建塔楼		-
东城	大方家胡同 	1室1厅	51.09	574	112351		南北	简装	无	高楼层(共6层)2003年建板楼		-
东城	富莱茵花园 	3室2厅	149.25	1060	71022		南北	精装	无	底层(共6层)1995年建板楼		-
东城	国瑞城中区 	4室1厅	219.74	2500	113771		南北	精装	无	底层(共11层)2006年建板楼		-
东城	广渠家园 	1室1厅	50.1	469	93613		东	精装	无	中楼层(共28层)2009年建塔楼		-
东城	香饵胡同 	3室1厅	81.68	1120	137121		南北	精装	无	中楼层(共6层)2002年建板楼		-
东城	华龙美晟 	3室1厅	111.01	820	73868	房本满五年	南北	精装	无	中楼层(共12层)2009年建板塔结合		-
东城	金鱼池西区 	1室0厅	46.61	265	56855	房本满五年	西	简装	无	地下室(共7层)2002年建板塔结合		-
东城	永康胡同18号院 	1室1厅	43.7	585	133868	房本满五年	南	简装	无	中楼层(共6层)1984年建板楼		-
东城	十字坡西里 	3室1厅	59.61	645	108204	房本满五年	南北	精装	无	顶层(共6层)1983年建板楼		-
东城	和平里六区 	4室2厅	123.94	1400	112958	房本满五年	东南	精装	无	顶层(共17层)1998年建塔楼		-
东城	绿景馨园 	2室1厅	52.13	530	101669	房本满五年	南	简装	无	中楼层(共6层)2004年建板楼		-
东城	香河园北里 	3室1厅	80.96	698	86216	房本满五年	东西	精装	无	高楼层(共14层)1986年建板塔结合		-
东城	外交部街33号院 	1室1厅	36.39	550	151141	房本满五年	南	精装	无	底层(共6层)1988年建板楼		-
东城	东皇城根南街 	2室1厅	58.3	686	117668	房本满五年	南北	精装	无	低楼层(共6层)1987年建板楼		-
东城	北新仓胡同 	2室1厅	64.89	750	115581	房本满五年	南北	简装	无	中楼层(共7层)2003年建板楼		-
东城	海晟名苑南区 	3室2厅	205.59	2298	111776	房本满五年	南北	精装	无	中楼层(共11层)2005年建板楼		-
东城	十字坡西里 	2室1厅	56.6	565	99824	房本满五年	南北	简装	无	中楼层(共6层)1983年建板楼		-
